317,194
413,356
426,483
341,076
304,472
162,275
367,474
513,201
204,401
166,231
371,171
388,374
231,147
445,497
427,384
414,269
205,256
377,464
413,356
500,459
503,460
576,514
551,552
310,194
219,318
334,350
245,222
428,472
058,211
210,260
314,116
260,343
450,353
334,508
450,162
306,235
269,155
498,249
217,166
457,195
310,189
401,452
224,304
317,057
317,200
347,476
215,480
480,477
292,066
070,233
143,201
168,332
185,411
171,468
169,471
337,491
477,478
490,471
447,369
498,231
483,253
478,261
444,273
433,329
410,322
398,317
405,279
397,278
