332,334
351,289
404,370
464,460
296,264
189,259
228,518
150,535
370,257
470,188
443,117
544,122
624,108
651,214
571,354
648,452
658,550
534,392
517,309
523,342
581,264
847,198
481,262
383,308
731,492
737,311
628,168
635,122
513,384
594,409
567,435
591,482
392,384
366,381
377,445
320,477
158,485
256,224
441,335
477,409
374,296
250,443
423,328
618,478
710,111
416,359
225,577
411,401
464,361
254,271
267,220
267,183
219,206
283,522
377,445
421,249
508,497
522,561
965,329
683,234
356,266
419,308
