497,147
591,140
608,187
499,199
433,80
519,101
619,115
515,314
649,251
589,470
596,233
628,319
280,524
244,429
219,341
317,420
228,191
248,151
874,189
916,247
730,142
961,200
997,508
1061,534
487,129
468,128
476,189
529,171
569,189
505,136
134,276
756,234
459,183
543,80
566,93
551,128
570,146
654,438
535,150
552,151
076,200
994,518
458,214
678,251
244,517
528,131
497,174
862,350
581,189
204,242
536,216
620,349
535,390
552,503
499,326
461,177
529,159
638,212
577,124
908,222
892,257
847,295
238,184
198,256
297,506
285,465
245,503
208,406
203,357
